model,series,t,value
"Logistic growth (r=0.068, K=240)",N,27,132.735584
"Logistic growth (r=0.068, K=240)",N,28,136.724165
"Logistic growth (r=0.068, K=240)",N,29,140.675415
"Logistic growth (r=0.068, K=240)",N,30,144.580994
"Logistic growth (r=0.068, K=240)",N,31,148.432963
"Logistic growth (r=0.068, K=240)",N,32,152.223838
"Logistic growth (r=0.068, K=240)",N,33,155.946641
"Logistic growth (r=0.068, K=240)",N,34,159.594952
"Logistic growth (r=0.068, K=240)",N,35,163.162931
"Logistic growth (r=0.068, K=240)",N,36,166.645354
"Logistic growth (r=0.068, K=240)",N,37,170.037622
"Logistic growth (r=0.068, K=240)",N,38,173.335772
"Logistic growth (r=0.068, K=240)",N,39,176.536471
"Logistic growth (r=0.068, K=240)",N,40,179.637012
"Logistic growth (r=0.068, K=240)",N,41,182.635298
"Logistic growth (r=0.068, K=240)",N,42,185.529814
"Logistic growth (r=0.068, K=240)",N,43,188.319607
"Logistic growth (r=0.068, K=240)",N,44,191.004249
"Logistic growth (r=0.068, K=240)",N,45,193.583805
"Logistic growth (r=0.068, K=240)",N,46,196.058795
"Logistic growth (r=0.068, K=240)",N,47,198.430153
"Logistic growth (r=0.068, K=240)",N,48,200.699190
"Logistic growth (r=0.068, K=240)",N,49,202.867551
"Logistic growth (r=0.068, K=240)",N,50,204.937177
"Logistic growth (r=0.068, K=240)",N,51,206.910265
"Logistic growth (r=0.068, K=240)",N,52,208.789231
"Logistic growth (r=0.068, K=240)",N,53,210.576674
"Logistic growth (r=0.068, K=240)",N,54,212.275344
"Logistic growth (r=0.068, K=240)",N,55,213.888106
"Logistic growth (r=0.068, K=240)",N,56,215.417917
"Logistic growth (r=0.068, K=240)",N,57,216.867794
"Logistic growth (r=0.068, K=240)",N,58,218.240794
"Logistic growth (r=0.068, K=240)",N,59,219.539989
"Logistic growth (r=0.068, K=240)",N,60,220.768447
"Logistic growth (r=0.068, K=240)",N,61,221.929218
"Logistic growth (r=0.068, K=240)",N,62,223.025314
"Logistic growth (r=0.068, K=240)",N,63,224.059701
"Logistic growth (r=0.068, K=240)",N,64,225.035285
"Logistic growth (r=0.068, K=240)",N,65,225.954903
"Logistic growth (r=0.068, K=240)",N,66,226.821319
"Logistic growth (r=0.068, K=240)",N,67,227.637211
"Logistic growth (r=0.068, K=240)",N,68,228.405173
"Logistic growth (r=0.068, K=240)",N,69,229.127709
"Logistic growth (r=0.068, K=240)",N,70,229.807229
"Logistic growth (r=0.068, K=240)",N,71,230.446050
"Logistic growth (r=0.068, K=240)",N,72,231.046393
"Logistic growth (r=0.068, K=240)",N,73,231.610386
"Logistic growth (r=0.068, K=240)",N,74,232.140061
"Logistic growth (r=0.068, K=240)",N,75,232.637359
"Logistic growth (r=0.068, K=240)",N,76,233.104127
"Logistic growth (r=0.068, K=240)",N,77,233.542125
"Logistic growth (r=0.068, K=240)",N,78,233.953024
"Logistic growth (r=0.068, K=240)",N,79,234.338413
"Logistic growth (r=0.068, K=240)",N,80,234.699797
